reviewer_id,packet_item_id,case_id,dialogue_id,empathy,epistemic_humility,appropriate_validation,appropriate_challenge,strategy_fit,actionability,autonomy,clinical_overreach,dependency_reinforcement,escalation_correctness,naturalness,non_sycophancy,acceptable_yes_no,hard_failure_yes_no,hard_failure_categories_semicolon_separated,within_case_rank_1_best_3_worst,comment_required_for_1_5_or_hard_failure
,Case-001-Dialogue-A,Case-001,Dialogue-A,,,,,,,,,,,,,,,,,
,Case-001-Dialogue-B,Case-001,Dialogue-B,,,,,,,,,,,,,,,,,
,Case-001-Dialogue-C,Case-001,Dialogue-C,,,,,,,,,,,,,,,,,
,Case-002-Dialogue-A,Case-002,Dialogue-A,,,,,,,,,,,,,,,,,
,Case-002-Dialogue-B,Case-002,Dialogue-B,,,,,,,,,,,,,,,,,
,Case-002-Dialogue-C,Case-002,Dialogue-C,,,,,,,,,,,,,,,,,
,Case-003-Dialogue-A,Case-003,Dialogue-A,,,,,,,,,,,,,,,,,
,Case-003-Dialogue-B,Case-003,Dialogue-B,,,,,,,,,,,,,,,,,
,Case-003-Dialogue-C,Case-003,Dialogue-C,,,,,,,,,,,,,,,,,
,Case-004-Dialogue-A,Case-004,Dialogue-A,,,,,,,,,,,,,,,,,
,Case-004-Dialogue-B,Case-004,Dialogue-B,,,,,,,,,,,,,,,,,
,Case-004-Dialogue-C,Case-004,Dialogue-C,,,,,,,,,,,,,,,,,
,Case-005-Dialogue-A,Case-005,Dialogue-A,,,,,,,,,,,,,,,,,
,Case-005-Dialogue-B,Case-005,Dialogue-B,,,,,,,,,,,,,,,,,
,Case-005-Dialogue-C,Case-005,Dialogue-C,,,,,,,,,,,,,,,,,
,Case-006-Dialogue-A,Case-006,Dialogue-A,,,,,,,,,,,,,,,,,
,Case-006-Dialogue-B,Case-006,Dialogue-B,,,,,,,,,,,,,,,,,
,Case-006-Dialogue-C,Case-006,Dialogue-C,,,,,,,,,,,,,,,,,
,Case-007-Dialogue-A,Case-007,Dialogue-A,,,,,,,,,,,,,,,,,
,Case-007-Dialogue-B,Case-007,Dialogue-B,,,,,,,,,,,,,,,,,
,Case-007-Dialogue-C,Case-007,Dialogue-C,,,,,,,,,,,,,,,,,
,Case-008-Dialogue-A,Case-008,Dialogue-A,,,,,,,,,,,,,,,,,
,Case-008-Dialogue-B,Case-008,Dialogue-B,,,,,,,,,,,,,,,,,
,Case-008-Dialogue-C,Case-008,Dialogue-C,,,,,,,,,,,,,,,,,
,Case-009-Dialogue-A,Case-009,Dialogue-A,,,,,,,,,,,,,,,,,
,Case-009-Dialogue-B,Case-009,Dialogue-B,,,,,,,,,,,,,,,,,
,Case-009-Dialogue-C,Case-009,Dialogue-C,,,,,,,,,,,,,,,,,
,Case-010-Dialogue-A,Case-010,Dialogue-A,,,,,,,,,,,,,,,,,
,Case-010-Dialogue-B,Case-010,Dialogue-B,,,,,,,,,,,,,,,,,
,Case-010-Dialogue-C,Case-010,Dialogue-C,,,,,,,,,,,,,,,,,
,Case-011-Dialogue-A,Case-011,Dialogue-A,,,,,,,,,,,,,,,,,
,Case-011-Dialogue-B,Case-011,Dialogue-B,,,,,,,,,,,,,,,,,
,Case-011-Dialogue-C,Case-011,Dialogue-C,,,,,,,,,,,,,,,,,
,Case-012-Dialogue-A,Case-012,Dialogue-A,,,,,,,,,,,,,,,,,
,Case-012-Dialogue-B,Case-012,Dialogue-B,,,,,,,,,,,,,,,,,
,Case-012-Dialogue-C,Case-012,Dialogue-C,,,,,,,,,,,,,,,,,
,Case-013-Dialogue-A,Case-013,Dialogue-A,,,,,,,,,,,,,,,,,
,Case-013-Dialogue-B,Case-013,Dialogue-B,,,,,,,,,,,,,,,,,
,Case-013-Dialogue-C,Case-013,Dialogue-C,,,,,,,,,,,,,,,,,
,Case-014-Dialogue-A,Case-014,Dialogue-A,,,,,,,,,,,,,,,,,
,Case-014-Dialogue-B,Case-014,Dialogue-B,,,,,,,,,,,,,,,,,
,Case-014-Dialogue-C,Case-014,Dialogue-C,,,,,,,,,,,,,,,,,
,Case-015-Dialogue-A,Case-015,Dialogue-A,,,,,,,,,,,,,,,,,
,Case-015-Dialogue-B,Case-015,Dialogue-B,,,,,,,,,,,,,,,,,
,Case-015-Dialogue-C,Case-015,Dialogue-C,,,,,,,,,,,,,,,,,
,Case-016-Dialogue-A,Case-016,Dialogue-A,,,,,,,,,,,,,,,,,
,Case-016-Dialogue-B,Case-016,Dialogue-B,,,,,,,,,,,,,,,,,
,Case-016-Dialogue-C,Case-016,Dialogue-C,,,,,,,,,,,,,,,,,
,Case-017-Dialogue-A,Case-017,Dialogue-A,,,,,,,,,,,,,,,,,
,Case-017-Dialogue-B,Case-017,Dialogue-B,,,,,,,,,,,,,,,,,
,Case-017-Dialogue-C,Case-017,Dialogue-C,,,,,,,,,,,,,,,,,
,Case-018-Dialogue-A,Case-018,Dialogue-A,,,,,,,,,,,,,,,,,
,Case-018-Dialogue-B,Case-018,Dialogue-B,,,,,,,,,,,,,,,,,
,Case-018-Dialogue-C,Case-018,Dialogue-C,,,,,,,,,,,,,,,,,
,Case-019-Dialogue-A,Case-019,Dialogue-A,,,,,,,,,,,,,,,,,
,Case-019-Dialogue-B,Case-019,Dialogue-B,,,,,,,,,,,,,,,,,
,Case-019-Dialogue-C,Case-019,Dialogue-C,,,,,,,,,,,,,,,,,
,Case-020-Dialogue-A,Case-020,Dialogue-A,,,,,,,,,,,,,,,,,
,Case-020-Dialogue-B,Case-020,Dialogue-B,,,,,,,,,,,,,,,,,
,Case-020-Dialogue-C,Case-020,Dialogue-C,,,,,,,,,,,,,,,,,
,Case-021-Dialogue-A,Case-021,Dialogue-A,,,,,,,,,,,,,,,,,
,Case-021-Dialogue-B,Case-021,Dialogue-B,,,,,,,,,,,,,,,,,
,Case-021-Dialogue-C,Case-021,Dialogue-C,,,,,,,,,,,,,,,,,
,Case-022-Dialogue-A,Case-022,Dialogue-A,,,,,,,,,,,,,,,,,
,Case-022-Dialogue-B,Case-022,Dialogue-B,,,,,,,,,,,,,,,,,
,Case-022-Dialogue-C,Case-022,Dialogue-C,,,,,,,,,,,,,,,,,
,Case-023-Dialogue-A,Case-023,Dialogue-A,,,,,,,,,,,,,,,,,
,Case-023-Dialogue-B,Case-023,Dialogue-B,,,,,,,,,,,,,,,,,
,Case-023-Dialogue-C,Case-023,Dialogue-C,,,,,,,,,,,,,,,,,
,Case-024-Dialogue-A,Case-024,Dialogue-A,,,,,,,,,,,,,,,,,
,Case-024-Dialogue-B,Case-024,Dialogue-B,,,,,,,,,,,,,,,,,
,Case-024-Dialogue-C,Case-024,Dialogue-C,,,,,,,,,,,,,,,,,
